"","scenario_id","brake_tire_emissions_modification","fuel_matching_option","fleet_electricity_consumption_source","first_proj_yr","fleet_id","last_yr","s_and_f_ghg","s_and_f_metric","s_and_f_target_year","s_and_f_target_sector","s_and_f_attribute_name","s_and_f_max_attribute_value","s_and_f_cut_off","backcasting_fct_tbc","bat_impro","elec_mix_mdl","first_yr","gwp_th","crf_last_yr","agtp_last_yr","discount_rate","ssp_scen","ssp_mitigation_scen","ghg_concentration_scen","relative_transportation_electricity_demand","calculation_mode","matrix_mix","electric_grid_scenario","elec_methane_leak_rate","aeo_scen","elec_mix_adj_mdl","elec_mix_adj_coef","electric_grid_data_source","electricity_EF_source","electricity_EF_change_scenario","elec_ef_source","emissions_multiplier_SO2","emissions_multiplier_NOx","emissions_multiplier_PM25","fleet_dataset","vkt_turnover_adj_mdl","survival_rate_adj_age","bat_mat_comp_mdl","bat_ms_scen","fleet_initial_year","fleet_final_year","efuel_dep_mdl","efuel_dep_rate","efuel_param_scen","ghg_budget_mdl","fc_deg","fc_deg_mdl","gwp_cc_fb","wgt_scen_GREET","mod_scen_GREET","FCV_bat_t","BEV_bat_t","PHEV_bat_t","HEV_bat_t","ev_bat_size_mdl","mat_cont_adj","gcam_stock_adj","rec_scen","rebound_effect_mdl","rebound_effect_value","fleet_database","market_share_source","market_share_adj_size","market_share_adj_size_an_grw","market_share_adj_size_mdl","market_share_adj_techno","market_share_adj_start_yr","fleet_vint_procedure","fleet_tot_stock","fleet_composition_source","survival_rate_mdl","fleet_stock_adj","vkt_mdl","vkt_hybrid_factor","vkt_growth_mdl","vkt_growth_rate","share_diesel_ldv_cons","share_gasoline_ldv_cons","share_ldv_crude_oil","share_prod_ethanol_fuel","share_ng_cons_elec","input_data","x_axis","y_axis","col","title_x","title_y","title_graph","color_palette","colorCount","ef_efuel_elec_mdl","ef_efuel_elec_adj_coef","ef_elec_mdl","ef_elec_adj_mdl","ef_elec_adj_coef","ef_prim_mat_mdl","ef_fuel_prod_mdl","ef_bat_mdl","fleet_vint_stock","sub_fac_fun","survival_rate_transition_period","survival_rate_techno_specific","market_share_diffusion_mdl","market_share_linear_diff_coef","market_share_bass_innovation_coef","market_share_bass_imitation_coef","market_share_market_potential","cost_of_carbon","fc_impro","fc_dr_city","frv_pwt_r","fc_ev_mdl","fc_conv_mdl","lca_veh_lifetime_mdl","vh_lca_yrs","bat_resz_ratio","sms_cutoff","pwtr_resz_ratio","sms_ratio","feature_wgt","lw_scen","lw_first_yr","lw_period"
"air_quality_module_f",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"backcasting_procedure_f",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"backcasting_results_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"battery_density_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cambium_el_grid_scenario_f",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"climate_change_metric_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cobra_health_impact_f",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COBRA_population_data_generation_f",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"county_level_elec_prod_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"custom_el_grid_scenario_f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
